text,category
"the source the source the source the esource bulletin october 2001 company information ? looking for a company ' s ? . ? business description executives bios financials facilities competitors subsidiaries sic codes government sec filings lawsuits global securities public records commodity pricing technical publications intellectual property news credit reports economic analysis global industries market research reports analyst reports strategic alliances jvs global credit ratings mergers acquisitions syndicated loans restructures corporate governance venture capital information is available for public , foreign and private companies on a real - time , historical and forecast basis . ? where do i look for general information on a company ? company website , hoovers , dow jones interactive , nexis - company dossier , yahoo market guide ? where are corporate financials or equity information ? sec filings 10 - k , 10 - q , analyst reports , global disclosure , dunn bradstreet , million dol",Job
"astounding mortgages simplified astounding mortgages simplified what ' s up homeowner you have been pre - approved for a 429 , 548 home loan at a 3 . 66 fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity all we ask is that you visit our website and complete the 1 minute post approval form ciao , vesta staples",Spam
"lower your company phone bill every month ! lower your company phone bill every month ! unlimited web conferencing subscribe to the web conference center for only 40 . 00 per month ! connects up to 15 participants at a time plus audio charges conduct real - time interactive meetings and presentations over the internet application sharing review and revise documents in real - time record and archive your meeting simulate a live classroom quickly hold a meeting with anyone anywhere in the world lowest rate . 18 per minute for audio toll charges included call anytime , from anywhere , to anywhere quality , easy to use service free demo eliminate or reduce travel expense try this on for savings . . . and turn those unnecessary trips into problem solving and fact finding conferences , saving time and wear and tear on your overworked business staff . to find out more about this revolutionary concept , fill out the form below . required input field name web address company name state business",Spam
"your registration - fortune ' s mpws oct . 3 - 5 , 2001 your registration - fortune ' s mpws oct . 3 - 5 , 2001 dear louise , thank you for your registration to fortune ' s most powerful women in business summit to be held october 3 - 5 , 2001 at the ritz - carlton huntington hotel spa in pasadena , calif . we ' re sorry to have to tell you this , but the response has been tremendously strong , and we ' ve reached capacity . as of now , we ' re not able to accommodate your registration . you ' ve been added to the waitlist for the summit . however , we ' ll notify you by august 15 if a space becomes available . in the meantime , if we can be of any assistance , please don ' t hesitate to call us at 212 - 522 - 8478 . best regards , amy",Other
"repelled , america ' s growth stocks repelled , america ' s growth stocks guadalupe lawrence , genex pharmaceutical , inc . otcbb genx chinese biotech company producing reconstituted bone xenograft rbx signs letter of intent to acquire vitamin bl manufacturer that posted us 16 million in revenue for fiscal 2003 and net income of approximately us 3 million the 10 q which was released on august 16 th showed revenues of 525 , 750 for the quarter ending june 30 th . vs . 98 , 763 for the same period a year ago . net income three months ended june 30 , 2004 151 , 904 vs . a loss of 3 , 929 for the same period a year ago . about genex pharmaceutical , inc . product distributed to 400 hospitals in 22 provinces genex pharmaceutical , inc . is a biomedical technology company with distinctive proprietary technology for an orthopedic device that treats bone - related injuries . headquartered in tianjin , china , the company manufactures and distributes reconstituted bone xenograft rbx , to 400 ho",Spam
schedule crawler hourahead failure schedule crawler hourahead failure start date 1 20 02 hourahead hour 8 hourahead schedule download failed . manual intervention required . log messages parsing file - - o portland westdesk california scheduling iso final schedules 2002012008 . txt error dbcaps 97 data cannot perform this operation on a closed database ! ! ! unknown database . alias dbcaps 97 data ! ! ! unknown database . alias dbcaps 97 data ! ! ! unknown database . alias dbcaps 97 data error dbcaps 97 data cannot perform this operation on a closed database ! ! ! unknown database . alias dbcaps 97 data ! ! ! unknown database . alias dbcaps 97 data ! ! ! unknown database . alias dbcaps 97 data error dbcaps 97 data cannot perform this operation on a closed database ! ! ! unknown database . alias dbcaps 97 data ! ! ! unknown database . alias dbcaps 97 data error dbcaps 97 data cannot perform this operation on a closed database error dbcaps 97 data cannot perform this operation on a close,Job
agenda agenda tammie schoppe enron americas - office of the chair assistant to louise kitchen 713 . 853 . 4220 office 713 . 646 . 8562 fax 713 . 253 . 2131 mobile,Meeting
"are you listed in major search engines ? are you listed in major search engines ? submitting your website in search engines may increase your online sales dramatically . if you invested time and money into your website , you simply must submit your website online otherwise it wiii be invisibie virtualiy , which means efforts spent in vain . lf you want people to know about your website and boost your revenues , the only way to do that is to make your site visibie in piaces where peopie search for information , i . e . submit your website in multipie search enqines . submit your website online and watch visitors stream to your e - business . best regards , keliyvance _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",Spam
re heartland industrial partners re heartland industrial partners i have not received any response yet from dave delainey to my feb 21 memo which forwarded additional information about the investment and the energy services agreement . i intend to followup with him next week . dick . louise kitchen ect 03 01 2001 12 56 pm to richard lydecker corp enron enron cc subject re heartland industrial partners sorry it took me a while to repond . has ees picked this up ? if so what is the financial implication on the 6 m already invested to date ? thanks louise richard lydecker enron 02 13 2001 04 32 pm to louise kitchen hou ect ect cc subject re heartland industrial partners heartland industrial partners is one issue we did not discuss this morning . these e - mails summarize the situation . i have not been able to get resolution yet on who provides the home for this investment . it doesn ' t fit ena . bowen doesn ' t want it in eim . ees does not want to invest this kind of capital although d,Job
"california litigation team - conference call on thursday at 2 00 california litigation team - conference call on thursday at 2 00 please note on your calendars that a conference call has been set up for tomorrow , thursday , april 26 th at 2 00 p . m . cst . the dial - in number is 1 - 800 - 998 - 2462 passcode 5192559",Meeting
"ski trip ski trip see attached file tahoe . doc - - - - - - - - - - - - - - - - - - - - - - forwarded by cathy a . bulf oneok on 01 18 2001 02 47 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - cathy a . bulf 01 18 2001 02 02 pm to tk . lohman enron . com , michelle . lokay enron . com cc subject ski trip oneok invites you to join us on our ski trip feb 7 - 11 at tahoe , nevada . attached is a brief agenda for planning purposes . give me a call if you need any additional information . - tahoe . doc",Meeting
software 3000 brindle software 3000 brindle triumphant lactose ionosphere q news blogs white papers downloads reviews prices . go . alerts newsletters rss feeds . click here . enterprise news . mozilla freezes seamonkey 04 20 pm . automation a bigger deal than offshoring ? 03 33 pm . time to kill it for the,Spam
"right you are ! ' the right you are ! ' the a yet casualty anton prosodic gasket or archenemy avail lamp hello , our database records indicate we will be able to a p prov e you for a m ortga g e re - fin a n ce for up to 250 k for 4 . 0 deal . if you are interested we advise you to act asap . we need some information from you to finish up the process . use this unique url dcixjzo have a nice day , sincerly solis sentence , at the rim to to rotnwmg an to out rnewsmen sprung was wnqevxoif out so be tallow avowal the sfoster by joggle ocelot of a thief , bony for i analyses and steroid nail the xspeedy itsbe or ii from us inroad cobalt anecdotal yale domicile no of us for pvjbncxef a diagnoses , raphael downstate so by ftsurovpi sonic our are is hypoactive of hamlin ? to rrqsqvrx it are ymca be we via in camelback qrxosljmi of pete on the spherule ouxymhmu econtradistinction amuse the via said beltsville the curio - query the switzerland we the the blanchard - allure slime a liable the la",Spam
"pravas sud pravas sud billy , i would like you to ask for a favor for one of the rice students , pravas sud . he is interested in a summer internship . his phone number is 713 283 5825 , 832 647 8738 c . vince p . s . a phone message explaining the special circumstances follows . it ' s very important for enron .",Internship
"re video conference for interview stig faltinsen re video conference for interview stig faltinsen hi shirley , i hope you had a pleasant easter break . . . . for the video interview for stig faltinsen , if we do friday 28 th april , the only slot available is from 5 pm onwards london time - can vince do from 5 pm to 5 . 30 pm ? regards , anjam x 35383 vince j kaminski 25 04 2000 16 25 to anjam ahmad lon ect ect cc vince j kaminski hou ect ect , shirley crenshaw hou ect ect subject re video conference for interview stig faltinsen anjam , sorry , i am busy on thursday . i shall ask shirley to contact you . friday 9 30 to 10 30 my time would work . vince vince anjam ahmad 04 25 2000 09 51 am to vince j kaminski hou ect ect , shirley crenshaw hou ect ect cc subject video conference for interview stig faltinsen hi vince , this candidate was forwarded from the norway office . he is finishing his phd in cambridge but is available soon . if you are free on thursday before the regular weekly me",Meeting
start date 1 29 02 hourahead hour 9 start date 1 29 02 hourahead hour 9 start date 1 29 02 hourahead hour 9 no ancillary schedules awarded . no variances detected . log messages parsing file - - o portland westdesk california scheduling iso final schedules 2002012909 . txt,Job
"re revised - tenaska iv - cleburne plant re revised - tenaska iv - cleburne plant daren , we are working with mark mccoy on getting some things repathed in the system . it appears that we have not been actualizing the receipts in unify just the deliveries - not sure why ? ? ? ? . we have been paying the suppliers based on whatever they invoice us for , which typically has been a smaller number than what we have in unify . also , we have not been able to get a contact for the allocation statement . in some cases , we get the summary sheet , but no detail and some months we don ' t get anything at all . do you know of a good contact that we can call so that we receive the allocation on a timely and consistent basis ? the contacts on the allocation statements that we do have are not returning phone calls . i also need to know what was the beginning balance when we took this on for tenaska ? anything else that we need from you , i will call you . thanks , rw daren j farmer 03 05 2001 10 26",Meeting
"re from a previous summer intern re from a previous summer intern dear giuseppe unfortunately , i am no longer with the associate and analyst recruiting department and will be unable to assist you directly . please contact tracy warner , who is now responsible for recruiting . she will be able to assist you directly . tracy can be contacted at tracy . warner enron . com . i would also recommend having vince kaminski contact her as well to ensure that all communications are in order . best regards , celeste roberts giuseppe andrea paleologo stanford . edu on 04 20 2001 01 53 39 pm please respond to gappy stanford . edu sent by gappy stanford . edu to celeste roberts cc subject from a previous summer intern celeste , my name is giuseppe a . paleologo and you amy remember me i was a summer intern last summer in the research group , and attended the hiring event this year at stanford . in that occasion i had an informal offer from vince kaminski , and the assurance that i would receive a w",Job
"re spinnaker exploration company , l . l . c . n . padre is . block 883 l re spinnaker exploration company , l . l . c . n . padre is . block 883 l offshore kleberg county , texas contract 96047295 , meter 098 - 9862 098 - 9848 platform george , the texas general land office transport volume is in pops for may nominated at 4 , 800 d . deal 535132 was initially set up as a wellhead purchase from texas general land office . the transport volume of 4 , 800 d comprises approximately 22 of the total volume nominated at the meter . bob enron north america corp . from george weissman 05 02 2001 02 38 pm to robert cotten hou ect ect cc daren j farmer hou ect , brian m riley hou ect ect , melissa graves hou ect , mike morris corp enron enron , gerald lofton hou ect ect subject spinnaker exploration company , l . l . c . n . padre is . block 883 l offshore kleberg county , texas contract 96047295 , meter 098 - 9862 098 - 9848 platform bob , we currently have a total of 16 . 817 mmbtu d nominated",Other
"gas transportation meeting - 8 16 00 gas transportation meeting - 8 16 00 hello everyone a meeting has been scheduled between the addressees for wednesday , august 16 th at 4 00 pm in ebl 938 . if you have any questions , please let me know . regards , shirley",Other
"re summer internships at enron re summer internships at enron thanks , vince . - - - - - original message - - - - - from vince . j . kaminski enron . com mailto vince . j . kaminski enron . com sent friday , march 02 , 2001 3 09 pm to piazze wharton . upenn . edu subject re summer internships at enron donna , fyi vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 03 02 2001 02 09 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - celeste roberts 03 02 2001 02 04 pm to vince j kaminski hou ect ect cc kristin gandy na enron enron , alyse herasimchuk na enron enron subject re summer internships at enron document link vince j kaminski vince thanks . yes it is unfortunate that we were not able to quickly identify who the interested tiger team students were . we will go ahead and process an offer letter for kim and get it to her immediately . also , thanks for agreeing to help out with stanford . hopefully we will get a few good ones ! regards , ",Job
"re latest variance list for june re latest variance list for june brooklyn - attached you ' ll find your spreadsheet with my comments added in under problems . i ' ve also attached the respective real time sheets , to further explain discrepancies or to show revisions . please let me know if you have questions . thanks , kate - - - - - original message - - - - - from couch , brooklyn sent tuesday , june 19 , 2001 2 12 pm to confer , mark alport , kysa symes , kate williams iii , bill subject latest variance list for june please look at attached file for necessary revisions , responses , etc . if you have any questions , please give me a call . thanks brooklyn 713 . 853 . 1909",Other
re 20 re 20 claire swire in 1826 loook at christina aguileratechnology driving at ?,Spam
Following up on the proposal we discussed last week.,Other
"update on energy book update on energy book vince , ? just to let you know , the books will be shipped to both you and rice university tomorrow by express mail , which means the books should arrive within 5 days depending on customs . ? rice has purchased 25 books , and i informed them that if they don ' t sell them all , we will ? credit their account ? with the amount of unsold copies . ? i ' ve asked them to ? give you ? any extra copies instead of returning them . ? please find attached the invoice for the 50 books . ? thanks again , and if you need anything further , please let me know . ? julie - enron 224 _ 10 _ 01 _ 01 . doc",Other
Your order has been shipped and will arrive in 3 to 5 business days.,Other
The budget proposal for Q4 has been approved by the finance team.,Other
"enron in action 12 . 04 . 00 enron in action 12 . 04 . 00 print sale think presents ! today 12 4 you can take advantage of the rice university art department ' s annual print sale ! from 9 00 a . m . to 7 00 p . m . , you may visit room 201 at sewall hall on the rice campus . available items will include etchings and lithographs by rice university students and faculty , as well as prints from tembo studios , flatbed press - austin , and the university of houston printmaking students . artists services will be present to assist with your framing needs and all proceeds benefit the art departments of rice university and the university of houston . holiday party at the museum of fine arts houston invites all enron employees to the 14 th annual corporate partners holiday the mfa ! party to celebrate the partnership of business and the arts . stroll through exhibitions , sample a selection of delicious desserts , and enjoy festive holiday entertainment with your family . create your own holi",Internship
Congratulations you have won a free iPhone. Click here to claim now.,Spam
"falta dinheiro ? falta dinheiro ? nrvsxshundgfwflclmfj empresario europeu procura pessoas para oportunidade de negocio 631611 parcial r 1000 r 3000 922 integral ate r 7000 puajdqh clique aqui apeunwxdsgpvvhawm se voce recebeu essa mensagem , significa que voce ou outra pessoa colocou seu nome em nosso banco de dados , se nao tiver interesse em receber no futuro , clique aqui . pexgweg http gxgh . com . br http oxoagoo . com . br http vnn . com . br http fugr . com . br http dfy . com . br http jsen . com . br http qfkubv . com . br http wap . com . br http jqvlk . com . br http iaj . com . br http gsre . com . br http ppsv . com . br http ysfu . com . br http oqlc . com . br http rwium . com . br http lejcv . com . br http prfeeo . com . br http tqvvmr . com . br http terra . com . br http uol . com . br http msn . co . il http msn . com http msn . com . br http hotmail . com http superig . com . br http hotmail . co . il http hotmail . co . uk http ig . com . br fhpkncwbyrdfdhstvyvajt",Spam
"fw eprm article fw eprm article any feedback on the latest article from chris for eprm ? ? please let me know when i can expect some feedback so i can get back to eprm , since they are going to press in a week . ? thanks , julie ? ? - - - - - original message - - - - - from robin lancaster to julie sent wednesday , october 11 , 2000 10 52 am subject eprm article julie i know that chris is away and so siad to contact you with any problems . just want to know the status of the article for this month ? the last e - mail from chris said it was getting a final look over from vince kaminski and i should expect it a few days and that was last thursday . any news , as we ' re due to go to press in a week and a day . robin",Other
"gsm , sim card reader storage gsm , sim card reader storage mobile - gsm usb sim card readers 17 . 50 36 . 00 mobile - super gsm usb reader for sim cards sim backup 168 16 kb memory storage device sim card readersim card manager , you can easily create , edit , and backup phonebook entries using your pc and stop typing in information using the mobile phone ' s keypad . view all information from your gsm pcs sim card . manage your pin codes , transfer data from one sim to another , backup and export import all phonebook entries . compose sms messages on a pc save them on sim cards to send . sim backup 168 storage devicebackup your sim data with the sim backup 168 storage device ! it features a 16 kb internal memory , tn lcd screen , and compatible with gsm mobile phone sim cards . if your loose your phone or change providers , you don ' t need to key in your address book again . simply insert a new sim card and restore your data . save time and your data with the sim backup 168 storage ",Spam
ntiag new levitra . special for paliourg iit . demokritos . gr . mp ntiag new levitra . special for paliourg iit . demokritos . gr . mp levitra helps increase blood flow to the penis and may help men with ed get and keep an erection satisfactory for sexual activity . read more . . .,Spam
"re summer internship re summer internship vince , i appreciate your inquiry regarding an extra spot in the summer associate pool . i am looking forward to hearing from you soon . best regards , - - - - - - - - - oooo - - - - - oooo - - - - - - - - - - cantekin dincerler doctoral candidate the university of texas at austin graduate school of business department of finance office 512 471 - 1676 fax 512 471 - 5073 home 512 472 - 5356 http uts . cc . utexas . edu cantekin - - - - - - - - - - - - - oooo - - - - - oooo - - - - - - - - - - - - - - - original message - - - - - from vince j kaminski mailto vince . j . kaminski enron . com sent wednesday , march 29 , 2000 8 34 am to cantekin mail . utexas . edu cc vince j kaminski vasant shanbhogue subject re summer internship cantekin , the summer associate program has closed but i shall check to see if i can get one extra place . vince cantekin dincerler on 03 28 2000 11 48 53 am please respond to cantekin mail . utexas . edu to vkamins ect . ",Internship
"re new turn - on range resources re new turn - on range resources vance , a ticket has been created and entered in sitara based on the information below . the deal number is 287507 . thanks . bob vance l taylor 06 02 2000 10 23 am to tom acton corp enron enron , robert cotten hou ect ect cc lisa hesse hou ect ect , heidi withers hou ect ect , julie meyers hou ect ect , susan smith hou ect ect , donald p reinhardt hou ect ect , melissa graves hou ect ect subject new turn - on range resources robert tom , the following production commenced to flow earlier in the week and a ticket should be created and entered into sitara based on the following counterparty meter volumes price period range resources corporation 9832 350 mmbtu d 100 gasdaily less 0 . 18 5 30 - 5 31 fyi , susan will create and submit a committed reserves firm ticket for june and for the remaining term of the deal beginning with the month of july once she recieves a reserve study . additionally , this is a producer svcs . de",Other
"petition for summer internship petition for summer internship celeste , i am recommending jason sokolov for summer internship with enron . jason is currently working part - time for mike roberts and makes very valuable contribution to a number on - going projects . we are very happy with his performance and see him as a valuable future enron employee . vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski hou ect on 01 05 2000 07 30 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from jason sokolov 01 04 2000 01 32 pm to vince j kaminski hou ect ect cc subject petition for summer internship vince as we discussed earlier , i attached the copy of the petition for my summer internship with enron analyst and associate group . i also have the hard copy of the letter , which i will deliver to you presonally . i am looking forward to , finally , become an official enron employee . thank you very much for your valuable contributions to my experience with the ",Internship
Your LinkedIn profile is a great match for our engineering role.,Job
"re summer work . . re summer work . . jinbaek , this is a project related to automated trading platforms for commodities . vince jinbaek kim on 05 02 2001 05 21 40 pm to vince . j . kaminski enron . com cc subject re summer work . . dr . kaminski , thanks for your mail . i am sorry that i ' ll not be available earlier , i will talk with my advisor , but probably it will be pretty negative . however , i may be able to start it from junel , depending on what he tells . . we will meet tomorrow afternoon , so i ' ll be able to let you know whether we can start work earlier then . and could you tell me briefly what are those projects you have in mind ? thanks ! jinbaek kim ph . d candidate dept . of industrial engineering and operations research u . c . berkeley http www . ieor . berkeley . edu jinbaek go bears ! ' . _ . . - - - . . _ . ' . . ' . ' . a a _ _ . . . . . _ _ . - 0 - . _ - - - ' ' - . . . . - - ' ' . . ' . , . . ' - - ' - - ' . ' . _ - ' _ . ' . ' . ' ' . ' . . . . ' - . ' . _ ",Internship
"you are now subscribed to the frbnyrmagl list you are now subscribed to the frbnyrmagl list mon , 18 sep 2000 18 42 47 your subscription to the frbnyrmagl list federal reserve bank of ny research publications has been accepted . please save this message for future reference , especially if this is the first time you are subscribing to an electronic mailing list . if you ever need to leave the list , you will find the necessary instructions below . perhaps more importantly , saving a copy of this message and of all future subscription notices from other mailing lists in a special mail folder will give you instant access to the list of mailing lists that you are subscribed to . this may prove very useful the next time you go on vacation and need to leave the lists temporarily so as not to fill up your mailbox while you are away ! you should also save the welcome messages from the list owners that you will occasionally receive after subscribing to a new list . to send a message to all the",Job
"united way executive breakfasts united way executive breakfasts please join us for one of the executive breakfasts at depelchin children , s center , our adopted agency for this year and one of the more than 80 community organizations supported by the united way of the texas gulf coast . the executive breakfasts will focus on our 2000 campaign . to reach our goal of 2 , 310 , 000 , it will take the active leadership and support of each of you . we look forward to seeing all of you at one of the breakfasts . event executive breakfast date thursday , august 3 , 2000 hosted by joe sutton or friday , august 4 , 2000 hosted by jeff skilling time 7 45 - 9 00 a . m . location depelchin children , s center 100 sandman close to memorial and shepherd intersection transportation bus will depart from the enron building andrews street side promptly at 7 30 a . m . note bus transportation is encouraged , due to limited onsite parking . however , if you should need to drive , a map will be provided .",Meeting
"re summer internship re summer internship dr . kaminski , thank you very much . of course , i ' ll be happy to have an opportunity to work at such a wonderful company . i was contacting with surech raghavan at deal bench team , and was going to express my appreciation to you again after settling down process with them . for the period of working , i still need to coordinate with my advisor and may need to adjust according to that . but anyway , i ' ll try to coordinate smoothly . please let me know whether i should keep contacting with deal bench team , for working period and for misc . living support such as finding a place , rent a car , etc . i appreciate you so much again , for arranging such meetings and giving me an opportunity . all this opportunity will not be available to me , without your kind help . warm regards , jinbaek jinbaek kim ph . d candidate dept . of industrial engineering and operations research u . c . berkeley http www . ieor . berkeley . edu jinbaek go bears ! ",Internship
"re pg e texoma volumes re pg e texoma volumes this particular meter looks okay today , so should not be impacting ua 4 . will keep you posted if i find any other problems . bryan hull 03 21 2000 05 18 pm to lauri a allen hou ect ect cc subject re pg e texoma volumes i looked at our p l tonite and our ua 4 volumes actually increased by about 90 , 000 mmbtu ' s for a grand total of 550 , 000 mmbtu ' s for the month . i don ' t know if they fixed this problem or not . if you have any information please let me know . thanks . bryan lauri a allen 03 21 2000 09 51 am to bryan hull hou ect ect cc subject re pg e texoma volumes scheduling says that they have corrected , but no telling what may happen overnight . if you run your p l this evening , you should be okay .",Other
"see page 1 see page 1 best regards , jhherbert - gd . pdf",Other
"webi proposal webi proposal vince per your request , i am forwarding the electronic version of the webi proposal . as i mentioned to you yesterday , jeff shankman has procured funding for enron to join at the corporate partner level , so you may wish to discuss the matter with him prior to circulating this document . this funding is in addition to that which you and christie have already committed to other research and sponsorship activities at the school . please let me know if i can be of any further help . i look forward to seeing you again soon . by the way , i cast my vote on time and with no confusion let ' s hope the outcome is as we hoped it would be . tom - webi proposal complete 5 - 26 . doc",Other
"fw structuring resources fw structuring resources john l . suggested i pass of this request to you . as you work a deal for newco i wanted to make sure that we include the various tools we use in structuring for pricing and evaluating deals i . e . , we want to make sure the newco will have the exclusive rights to this information . kelli has provided a basic list of this information below . most relates to the exotica functions and any associated code that research has created for structuring deals . i am forwarding a copy of this to jim meyn to see if he has any additional needs . thanks . - - - - - original message - - - - - from little , kelli sent tuesday , december 11 , 2001 1 55 pm to breese , mark subject structuring resources mark , attached is the list of materials we would request to have access to in the new company . please let me know if you have any questions of changes . thanks , kelli",Other
"re summer internship re summer internship jinbaek , this is fine though you are welcome to spend more time with us this summer . vince jinbaek kim on 03 04 2001 03 45 40 pm to vince . j . kaminski enron . com cc subject re summer internship dr . kaminski , thanks for your answer . before i tell you the time frame , i ' ll need to talk with my advisor , first . because here is an on - going - project . i need to coordinate the schedule . i ' ll appreciate it if you understand my situation , and give me some time less than a week , of course . for your reference , probably the dates i ' d like to ask you will be from mid - may to mid - july 2 months warm regards , jinbaek jinbaek kim ph . d candidate dept . of industrial engineering and operations research u . c . berkeley http www . ieor . berkeley . edu jinbaek go bears ! ' . _ . . - - - . . _ . ' . . ' . ' . a a _ _ . . . . . _ _ . - 0 - . _ - - - ' ' - . . . . - - ' ' . . ' . , . . ' - - ' - - ' . ' . _ - ' _ . ' . ' . ' ' . ' . . . ",Internship
start date 1 31 02 hourahead hour 19 start date 1 31 02 hourahead hour 19 start date 1 31 02 hourahead hour 19 no ancillary schedules awarded . no variances detected . log messages parsing file - - o portland westdesk california scheduling iso final schedules 2002013119 . txt,Job
"re garp re garp frank , i have reviewed materials from garp but did not find any information about the speaker ' s perks like , for example , the right to invite another person , free of charge . i shall message garp with this question . please , give me a few more days to think about garp presentation . vince enron north america corp . from frank hayden enron 11 27 2000 03 27 pm to vince j kaminski hou ect ect cc subject garp vince , i just wanted to follow up and see if i can be your guest at the ny garp meeting . also , have you had any time to think of a topic for january . i would like to get an email out announcing the meeting . let me know your thoughts , thanks , frank",Other
"rice program in financial engineering rice program in financial engineering dear vince , tony and i are looking forward to meeting with you tomorrow thurs . at 10 a . m . regarding the rice iniative in financial engineering . attached to this message is our draft plan for the proposed undergraduate program i will also bring a copy to the meeting in the morning . see you tomorrow ! best regards , kathy katherine bennett ensor professor and chairperson department of statistics , ms 138 rice university houston , tx 77251 - 1892 ensor rice . edu phone 713 527 4687 fax 713 285 5476 - draft - plano 2 . doc",Internship
"enron mentions enron mentions the rise and fall of enron the new york times - 11 02 01 the enron debacle business week - 11 02 01 derivatives danger ? business week - 11 02 01 commentary enron ' s clout won ' t sway the sec business week - 11 02 01 afl - cio , amalgamated bank call on enron to redirect the mission of newly created special committee outside directors must adopt independent role pr newswire - 11 02 01 williams ceo sees validation of co ' s bandwidth model dow jones energy service - 11 02 01 usa enron shares plunge after s section a the rise and fall of enron 11 02 2001 the new york times page 24 , column 1 c . 2001 new york times company earlier this year , most companies would have loved to have enron ' s problems . californians resented the energy trading company ' s huge profits during their energy crisis , and democrats in washington raised questions about enron ' s influence within the white house and about the cozy relationship between enron ' s chairman , kenneth ",Job
"re fall interviews re fall interviews the companies that are our primary competition in this area are the big 5 accounting firms . they interview in may of a 5 year ppa ' s 3 rd year for a spring internship in the 4 th year . we must attract 4 th year ppas in the fall before their spring internship or 3 rd year ppas in the spring . we need to do alot more planning on this between now and next fall but i definitely want to interview for interns both in the spring and fall . thanks from lexi elliott 02 09 2001 11 47 am to richard causey corp enron enron , mark e lindsey gpgfin enron enron , sally beck hou ect ect cc shelly jones hou ect ect subject re fall interviews this was the response i received from the ford career center regarding internship interviews . thank you , lexi - - - - - - - - - - - - - - - - - - - - - - forwarded by lexi elliott na enron on 02 09 2001 11 53 am - - - - - - - - - - - - - - - - - - - - - - - - - - - cindy henson on 02 05 2001 03 02 03 pm to cc subject re fa",Internship
"joint venture joint venture some emerging documents early days but good for information purposes - - - - - - - - - - - - - - - - - - - - - - forwarded by mike jordan lon ect on 06 04 2001 14 42 - - - - - - - - - - - - - - - - - - - - - - - - - - - coralie evans 05 04 2001 08 52 to mike jordan lon ect ect cc subject joint venture please find attached the draft soap pretty rough and the business plan . are either of these what you ' re looking for ? i can put together a summary if you need something different . regards , c",Other
"re recommendation of an outstanding baylor mba student for summer re recommendation of an outstanding baylor mba student for summer internship at 10 17 am 3 31 2001 - 0600 , vince . j . kaminski enron . com wrote jim , i shall contact althea and make sure rusty meets with the research group members . vince vince , i am quite grateful . thanks for arranging this . by the way , is there any chance that i might be able to attract you to campus this spring before school lets out ? ? if not , let ' s definitely plan on scheduling a time during the coming fall 2001 semester when you can visit campus and present a lecture to my risk management students . sincerely , jim garven james r . garven , ph . d . professor of finance insurance department of finance , insurance and real estate hankamer school of business hsb 336 baylor university box 98004 waco , tx ? 76798 voice 254 710 - 6207 fax 320 213 - 5580 e - mail james _ garven baylor . edu home page http garven . baylor . edu vita http garven",Internship
start date 1 4 02 hourahead hour 23 start date 1 4 02 hourahead hour 23 start date 1 4 02 hourahead hour 23 no ancillary schedules awarded . variances detected . variances detected in load schedule . log messages parsing file - - o portland westdesk california scheduling iso final schedules 2002010423 . txt - - - - load schedule - - - - variance found in table tblloads . details hour 23 preferred 126 . 40 final 126 . 37 trans _ type final load _ id sdgl mkt _ type 2 trans _ date 1 4 02 sc _ id enrj,Job
"re follow - up re follow - up eric , mandeep chahal , ainsley gaddis , sofya tamarchenko , elena chilkina , james aimone should not count . m . chahal was transferred to the new company , the rest are summer interns gone back to school , or part - time high school or college kids . i shall walk around and remind the rest of the crowd about the deadline . vince eric thode enron 08 25 2000 02 31 pm to vince j kaminski hou ect ect cc subject follow - up vince - - we have been working the last few days to get ena ' s united way participation rate up as high as possible . i called earlier about your cost center because the following 16 employees were listed in power trading , but i believe are part of the research organization . if you have a chance , could you encourage them to log onto http unitedway . enron . com on the intranet and make a contribution to the united way . the deadline is today . thanks . eric employees in your cost center ainsley gaddis elena chilkina james aimone jose m",Internship
"breakfast breakfast please join us for breakfast this friday , october 27 , by steve weller ' s desk around 8 30 a . m . to celebrate the following birthdays october julie armstrong 15 th theresa branney 16 th don powell 20 th morgan gottsponer 22 nd t . k . lohman 29 th dana jones 31 st",Meeting
